iter	Passed	Remaining
417	2687	1170
418	2693	1163
419	2697	1156
420	2702	1148
421	2708	1142
422	2714	1135
423	2719	1128
424	2726	1122
425	2733	1116
426	2739	1109
427	2745	1103
428	2751	1096
429	2757	1090
430	2762	1083
431	2770	1077
432	2775	1070
433	2781	1063
434	2787	1057
435	2792	1050
436	2798	1043
437	2806	1037
438	2811	1031
439	2818	1025
440	2826	1019
441	2833	1012
442	2838	1006
443	2845	999
444	2852	993
445	2867	990
446	2873	983
447	2881	977
448	2887	971
449	2895	965
450	2901	958
451	2909	952
452	2916	946
453	2923	940
454	2929	933
455	2939	928
456	2945	921
457	2951	914
458	2958	908
459	2965	902
460	2973	896
461	2978	889
462	2984	883
463	2990	876
464	2998	870
465	3005	864
466	3012	857
467	3018	851
468	3026	845
469	3031	838
470	3038	832
471	3044	825
472	3052	819
473	3059	813
474	3065	806
475	3070	799
476	3078	793
477	3085	787
478	3091	780
479	3098	774
480	3104	768
481	3111	761
482	3116	755
483	3125	749
484	3133	743
485	3139	736
486	3145	729
487	3150	723
488	3156	716
489	3164	710
490	3170	703
491	3175	697
492	3183	690
493	3189	684
494	3194	677
495	3201	671
496	3208	664
497	3214	658
498	3220	651
499	3226	645
500	3232	638
501	3238	632
502	3245	625
503	3249	618
504	3253	612
505	3260	605
506	3266	599
507	3273	592
508	3280	586
509	3285	579
510	3291	573
511	3297	566
512	3303	560
513	3309	553
514	3312	546
515	3319	540
516	3327	534
517	3333	527
518	3338	521
519	3346	514
520	3353	508
521	3359	501
522	3364	495
523	3369	488
524	3377	482
525	3383	476
526	3389	469
527	3396	463
528	3404	456
529	3410	450
530	3417	444
531	3423	437
532	3431	431
533	3436	424
534	3442	418
535	3451	412
536	3458	405
537	3466	399
538	3473	393
539	3479	386
540	3486	380
541	3493	373
542	3498	367
543	3505	360
544	3509	354
545	3517	347
546	3524	341
547	3530	335
548	3536	328
549	3541	321
550	3549	315
551	3555	309
552	3562	302
553	3569	296
554	3576	289
555	3581	283
556	3589	277
557	3595	270
558	3604	264
559	3653	260
560	3660	254
561	3666	247
562	3672	241
563	3678	234
564	3684	228
565	3691	221
566	3697	215
567	3705	208
568	3711	202
569	3718	195
570	3725	189
571	3730	182
572	3737	176
573	3743	169
574	3750	163
575	3757	156
576	3763	150
577	3768	143
578	3773	136
579	3779	130
580	3786	123
581	3792	117
582	3797	110
583	3804	104
584	3808	97
585	3814	91
586	3820	84
587	3827	78
588	3833	71
589	3840	65
590	3847	58
591	3854	52
592	3859	45
593	3865	39
594	3870	32
595	3876	26
596	3882	19
597	3888	13
598	3894	6
599	3899	0
