iter	RMSE
152	0.2906701033
153	0.2905988064
154	0.2904335604
155	0.2903702076
156	0.2902239713
157	0.2902204347
158	0.2899976689
159	0.2898306935
160	0.2895866063
161	0.2895622034
162	0.2894571572
163	0.2893137379
164	0.2892095569
165	0.289181999
166	0.2889528606
167	0.2888832131
168	0.2886828839
169	0.2886791854
170	0.2886450043
171	0.2884738514
172	0.2883522252
173	0.2881309357
174	0.288087207
175	0.2877610893
176	0.287724498
177	0.2877212971
178	0.2875100713
179	0.287349775
180	0.287212356
181	0.2871652268
182	0.286962102
183	0.2865078131
184	0.2864836467
185	0.2863151604
186	0.286192149
187	0.2860623848
188	0.2860584842
189	0.2858693946
190	0.2857857483
191	0.2855814389
192	0.2855538263
193	0.2852085228
194	0.2851536447
195	0.2851513131
196	0.2851119682
197	0.2850915563
198	0.284857562
199	0.2847773044
200	0.2847372539
201	0.2847276783
202	0.2847042593
203	0.2846727676
204	0.2845818207
205	0.2845519059
206	0.2842951525
207	0.2839472198
208	0.2839453463
209	0.2838511997
210	0.2837247543
211	0.2837230183
212	0.2836482934
213	0.2835385411
214	0.283321989
215	0.2831313476
216	0.2830011407
217	0.2828559306
218	0.2828548846
219	0.2828339441
220	0.2828327407
221	0.2824899722
222	0.2823951692
223	0.2822830321
224	0.282142021
225	0.2819304996
226	0.2817371964
227	0.2816362013
228	0.2814912892
229	0.281471619
230	0.2813616636
231	0.2811084442
232	0.2809636786
233	0.2809038944
234	0.2808359047
235	0.2806014965
236	0.2804098926
237	0.2803356478
238	0.2802644264
239	0.2801283865
240	0.2800788774
241	0.2800595702
242	0.2800563545
243	0.2799594144
244	0.2798268473
245	0.2797292683
246	0.2796332731
247	0.2793065761
248	0.2791791713
249	0.2790981944
250	0.2790249032
251	0.2790149006
252	0.2789262178
253	0.2788557449
254	0.2787387757
255	0.2785133356
256	0.2784471073
257	0.2782555967
258	0.2782496076
259	0.2781987273
260	0.278075059
261	0.2780701258
262	0.2780181484
263	0.2778293834
264	0.2776984171
265	0.277645025
266	0.2774864513
267	0.277408141
268	0.2773927188
269	0.2773236749
270	0.2772920621
271	0.2771161561
272	0.2770360985
273	0.2769773466
274	0.2769229977
275	0.2768718046
276	0.2768691918
277	0.2768354285
278	0.2767313891
279	0.2766191366
280	0.2765232933
281	0.2764853802
282	0.2763330925
283	0.2763306707
284	0.2760843788
285	0.2759578171
286	0.2758495602
287	0.2757916645
288	0.2757085858
289	0.2756495541
290	0.2756360166
291	0.2755911255
292	0.2754880727
293	0.275333223
294	0.2752248098
295	0.2751694882
296	0.2750904422
297	0.2749890766
298	0.2749646569
299	0.2748995323
300	0.2748025951
301	0.2746732069
302	0.2746394126
303	0.274459668
304	0.2744444864
305	0.2743990337
306	0.2742050362
307	0.2741728962
308	0.2739856504
309	0.2739632036
310	0.2738931957
311	0.2738580368
312	0.2737965969
313	0.273573225
314	0.2735403495
315	0.2735157194
316	0.2734363915
317	0.2733225903
318	0.2733107913
319	0.2732720891
320	0.2732476507
321	0.2731062798
322	0.2730870293
323	0.2729354346
324	0.2728767326
325	0.2728330206
326	0.2726935372
327	0.2726201624
328	0.2725149713
329	0.2724003371
330	0.2723059624
331	0.272139737
332	0.2720552923
333	0.2720031586
334	0.2719964249
335	0.2719204767
336	0.2719187106
337	0.2718592725
338	0.2717607725
339	0.2716162495
340	0.271555532
341	0.2714268262
342	0.2714093263
343	0.2713651517
344	0.2713318569
345	0.2713131221
346	0.2712278108
347	0.2710505379
348	0.2709640463
349	0.2709251327
350	0.2708597885
351	0.2708474991
352	0.2707646648
353	0.2706801111
354	0.2706189165
355	0.2705213179
356	0.2704711684
357	0.2703711801
358	0.2703072125
359	0.2702922956
360	0.2702314039
361	0.270224441
362	0.2700931304
363	0.2700771208
364	0.2700274969
365	0.2699710517
366	0.2698797393
367	0.2698198216
368	0.2697963514
369	0.2697468541
370	0.2696218849
371	0.269584125
372	0.2695463444
373	0.2695091077
374	0.2694537389
375	0.2693965126
376	0.2693401115
377	0.2693009394
378	0.2692614048
379	0.2691818129
380	0.2691224581
381	0.2690673211
382	0.2690247724
383	0.2689041488
384	0.2688510421
385	0.2687773601
386	0.2687768473
387	0.2687745813
388	0.2687306012
389	0.268702867
390	0.2685656603
391	0.2685459406
392	0.2685038689
393	0.2684992238
394	0.2683926178
395	0.2682746212
396	0.2682737391
397	0.268267847
398	0.2681509448
399	0.2680383783
400	0.267965775
401	0.2678604111
402	0.2678168228
403	0.267767353
404	0.267717222
405	0.267639979
406	0.2675440102
407	0.2673906461
408	0.267365355
409	0.2673136366
410	0.2672206415
411	0.2671814739
412	0.2671352236
413	0.2670761481
414	0.2669837118
415	0.2669065962
416	0.2668342004
417	0.2668084935
418	0.2667706318
419	0.266757531
420	0.266729773
421	0.2666433271
422	0.26658717
423	0.2665851703
424	0.2665172975
425	0.2664939596
426	0.2664915133
427	0.2664091876
428	0.266391086
429	0.2663791981
430	0.2663065705
431	0.2662798473
432	0.2662162579
433	0.2660004725
434	0.2659757935
435	0.2659730839
436	0.2658661791
437	0.2657904234
438	0.265593787
439	0.2655874188
440	0.2655477936
441	0.2654761846
442	0.2654461768
443	0.2653936363
444	0.26535495
445	0.2653374465
446	0.2652836748
447	0.2652512758
448	0.265234555
449	0.2652335468
450	0.265145108
451	0.265123539
452	0.2650518868
453	0.2648880874
454	0.2647799031
455	0.2647448659
456	0.2647054301
457	0.2645906183
458	0.2645747988
459	0.264511708
460	0.2645110839
461	0.2644714312
462	0.2644092312
463	0.2643980081
464	0.264303838
465	0.2643021831
466	0.2642633109
467	0.2642428855
468	0.2642186272
469	0.264181953
470	0.264147636
471	0.2640870104
472	0.2640355586
473	0.2640037094
474	0.2639469328
475	0.2639454398
476	0.2638597479
477	0.2637911002
478	0.2636152233
479	0.2635517684
480	0.2634507775
481	0.2634294044
482	0.2633757727
483	0.263353459
484	0.2632897781
485	0.2632521363
486	0.2632431299
487	0.2631963415
488	0.2631736354
489	0.2630739714
490	0.2630628922
491	0.2630104842
492	0.2629574527
493	0.2629225465
494	0.2628308103
495	0.2627871395
496	0.2627024925
497	0.2626732497
498	0.2626006618
499	0.2625583618
500	0.2625389899
501	0.2625078393
502	0.2624448106
503	0.2624320808
504	0.2623629871
505	0.2623290369
506	0.2622530064
507	0.2622168095
508	0.2622123276
509	0.262167048
510	0.2620907214
511	0.2620159542
512	0.2619693158
513	0.2619023206
514	0.2619010493
515	0.2618348901
516	0.2618274312
517	0.2617757056
518	0.261686083
519	0.2616719579
520	0.2616247321
521	0.2615545328
522	0.2615535352
523	0.2615283422
524	0.2615173135
525	0.2614485195
526	0.2614334506
527	0.2613747815
528	0.2613444266
529	0.2612314193
530	0.2612200783
531	0.2611587873
532	0.2611466501
533	0.2610194017
534	0.2609729095
535	0.260962823
536	0.2609429483
537	0.2608579508
538	0.2608078548
539	0.2608013417
540	0.2607144627
541	0.2606854726
542	0.2606557346
543	0.2605299982
544	0.2604938666
545	0.2604595085
546	0.260397473
547	0.2603876684
548	0.2603136121
549	0.2602968592
550	0.2602670016
551	0.2601261626
552	0.2600867772
553	0.2600297452
554	0.2599970524
555	0.2599808441
556	0.2599646319
557	0.2599004325
558	0.259877592
559	0.2597846406
560	0.2597772769
561	0.2597366296
562	0.2596192389
563	0.2596189264
564	0.2595939046
565	0.2595589634
566	0.2594265079
567	0.2593965231
568	0.2593695449
569	0.2592876391
570	0.2592665533
571	0.2592600211
572	0.2592514819
573	0.2592128113
574	0.2591858399
575	0.259138172
576	0.2591378841
577	0.2591109144
578	0.2590781797
579	0.2589971101
580	0.2589479556
581	0.2589478641
582	0.2589434162
583	0.2588975856
584	0.2588933857
585	0.2588347068
586	0.2587218157
587	0.2586568564
588	0.2585792083
589	0.2585625199
590	0.2585269685
591	0.2584847218
592	0.2584759482
593	0.2583886056
594	0.258381231
595	0.2583119106
596	0.2582466556
597	0.2581983767
598	0.2581960887
599	0.2581833031
